n-size,edge_probability,operations_count,operations_count,output
10,0.5,631,2.4444E-5,true
10,0.5,566,2.2E-5,true
10,0.5,591,2.0534E-5,true
10,0.7,838,3.073E-5,true
10,0.7,631,2.2349E-5,true
10,0.7,761,2.1511E-5,true
10,0.7,796,2.0534E-5,true
10,0.7,883,2.1092E-5,true
10,0.7,753,3.352E-6,false
10,0.7,734,1.8648E-5,true
10,0.7,626,3.772E-6,false
10,0.7,840,2.2908E-5,true
10,0.7,759,2.0603E-5,true
10,0.7,754,3.5828E-5,true
10,0.7,861,6.7327E-5,true
10,0.7,842,3.8134E-5,true
10,0.7,841,3.2896E-5,true
10,0.7,776,2.9752E-5,true
10,0.7,775,3.1917E-5,true
10,0.7,777,4.2534E-5,true
10,0.7,880,5.0496E-5,true
10,0.7,774,1.07415E-4,true
10,0.7,693,2.619E-5,true
10,0.7,799,1.9905E-5,true
10,0.7,714,1.8088E-5,true
10,0.7,797,1.8089E-5,true
10,0.7,798,2.7308E-5,true
10,0.7,712,1.8508E-5,true
10,0.7,821,1.753E-5,true
10,0.7,803,1.7251E-5,true
10,0.7,735,1.7879E-5,true
10,0.7,798,1.8019E-5,true
10,0.7,799,1.5714E-5,true
10,0.7,753,4.819E-6,false
10,0.7,886,1.6203E-5,true
10,0.7,776,2.3676E-5,true
10,0.7,626,1.7251E-5,true
10,0.7,691,1.6622E-5,true
10,0.7,820,1.5645E-5,true
10,0.7,756,1.5295E-5,true
10,0.7,669,3.771E-6,false
10,0.7,883,1.9206E-5,true
10,0.7,838,1.6693E-5,true
10,0.7,672,1.6203E-5,true
10,0.7,797,1.6832E-5,true
10,0.7,818,1.9416E-5,true
10,0.7,711,4.26E-6,false
10,0.7,864,1.5644E-5,true
10,0.7,795,2.7727E-5,true
10,0.7,756,2.6609E-5,true
10,0.7,840,2.0324E-5,true
10,0.7,819,1.6762E-5,true
10,0.7,841,1.7111E-5,true
10,0.7,800,1.6273E-5,true
10,0.7,840,1.4248E-5,true
10,0.7,775,1.4877E-5,true
10,0.7,816,1.7181E-5,true
10,0.7,670,3.1219E-5,true
10,0.7,674,2.6261E-5,true
10,0.7,762,2.5771E-5,true
10,0.7,632,2.4375E-5,true
10,0.7,839,1.8159E-5,true
10,0.7,692,1.4667E-5,true
10,0.7,900,1.6622E-5,true
10,0.7,797,1.76E-5,true
10,0.7,714,1.4666E-5,true
10,0.7,883,3.7155E-5,true
10,0.7,759,1.9207E-5,true
10,0.7,777,1.6623E-5,true
10,0.7,710,1.725E-5,true
10,0.7,712,1.76E-5,true
10,0.7,881,1.6134E-5,true
10,0.7,776,3.1987E-5,true
10,0.7,734,3.0241E-5,true
10,0.7,774,3.4222E-5,true
10,0.7,733,2.0882E-5,true
10,0.7,761,1.767E-5,true
10,0.7,776,1.8438E-5,true
10,0.7,630,1.3899E-5,true
10,0.7,819,1.5295E-5,true
10,0.7,836,1.8996E-5,true
10,0.7,776,1.4457E-5,true
10,0.7,730,4.261E-6,false
10,0.7,798,1.4667E-5,true
10,0.7,649,2.8565E-5,true
10,0.7,694,1.8089E-5,true
10,0.7,627,7.054E-6,false
10,0.7,608,3.0031E-5,true
10,0.7,818,3.1499E-5,true
10,0.7,775,1.0546E-5,false
10,0.7,779,3.1428E-5,true
10,0.7,756,2.8565E-5,true
10,0.7,672,3.0521E-5,true
10,0.7,756,2.612E-5,true
10,0.7,717,3.9041E-5,true
10,0.7,669,2.8844E-5,true
10,0.7,669,7.193E-6,false
10,0.7,651,2.8565E-5,true
10,0.7,736,2.8634E-5,true
10,0.7,775,3.3803E-5,true
10,0.7,775,2.6819E-5,true
10,0.7,734,3.052E-5,true
10,0.7,671,2.1651E-5,true
10,0.7,755,1.802E-5,true
10,0.7,802,2.1162E-5,true
10,0.7,797,1.6692E-5,true
10,0.7,671,1.5086E-5,true
10,0.7,732,1.6901E-5,true
10,0.7,783,1.4178E-5,true
10,0.7,712,3.974E-5,true
10,0.7,839,1.8647E-5,true
10,0.7,721,1.4667E-5,true
10,0.7,691,1.6203E-5,true
10,0.7,883,1.7461E-5,true
10,0.7,800,2.207E-5,true
10,0.7,779,2.2768E-5,true
10,0.7,758,2.0813E-5,true
10,0.7,860,1.6762E-5,true
10,0.7,882,1.4736E-5,true
10,0.7,647,1.5365E-5,true
10,0.7,758,2.0463E-5,true
10,0.7,692,1.4946E-5,true
10,0.7,840,1.5784E-5,true
10,0.7,798,4.819E-6,false
10,0.7,736,2.1441E-5,true
10,0.7,797,1.8997E-5,true
10,0.7,792,7.543E-6,false
10,0.7,736,3.4781E-5,true
10,0.7,817,2.8076E-5,true
10,0.7,692,2.8635E-5,true
10,0.7,755,1.9067E-5,true
10,0.7,798,1.8578E-5,true
10,0.7,677,4.819E-6,false
10,0.7,756,1.8159E-5,true
10,0.7,820,1.20546E-4,true
10,0.7,792,5.099E-6,false
10,0.7,861,1.6762E-5,true
10,0.7,820,2.64E-5,true
10,0.7,779,1.8019E-5,true
10,0.7,691,1.7739E-5,true
10,0.7,799,1.4318E-5,true
