n-size,edge_probability,operations_count,time,output
2,0.3,0,3.0994415283203125e-06,False
2,0.3,1,4.5299530029296875e-06,True
2,0.3,0,2.86102294921875e-06,False
2,0.3,0,2.384185791015625e-06,False
2,0.3,1,4.291534423828125e-06,True
2,0.3,0,2.86102294921875e-06,False
2,0.3,0,1.6689300537109375e-06,False
2,0.3,0,2.384185791015625e-06,False
2,0.3,0,2.86102294921875e-06,False
2,0.3,0,2.6226043701171875e-06,False
2,0.3,0,2.86102294921875e-06,False
2,0.3,1,2.86102294921875e-06,True
2,0.3,0,2.86102294921875e-06,False
2,0.3,1,3.0994415283203125e-06,True
2,0.3,1,3.337860107421875e-06,True
2,0.3,1,3.337860107421875e-06,True
2,0.3,0,2.86102294921875e-06,False
2,0.3,1,3.0994415283203125e-06,True
2,0.3,0,3.0994415283203125e-06,False
2,0.3,1,2.86102294921875e-06,True
2,0.3,0,2.86102294921875e-06,False
2,0.3,0,2.86102294921875e-06,False
2,0.3,0,3.0994415283203125e-06,False
2,0.3,0,2.86102294921875e-06,False
2,0.3,0,2.6226043701171875e-06,False
2,0.3,0,2.86102294921875e-06,False
2,0.3,0,2.6226043701171875e-06,False
2,0.3,0,3.0994415283203125e-06,False
2,0.5,0,5.245208740234375e-06,False
2,0.5,1,4.291534423828125e-06,True
2,0.5,0,2.86102294921875e-06,False
2,0.5,1,2.86102294921875e-06,True
2,0.5,1,2.86102294921875e-06,True
2,0.5,1,3.337860107421875e-06,True
2,0.5,1,2.86102294921875e-06,True
2,0.5,1,2.86102294921875e-06,True
2,0.5,0,2.86102294921875e-06,False
2,0.5,0,1.9073486328125e-06,False
2,0.5,1,3.337860107421875e-06,True
2,0.5,1,3.0994415283203125e-06,True
2,0.5,1,3.337860107421875e-06,True
2,0.5,0,2.384185791015625e-06,False
2,0.5,1,3.337860107421875e-06,True
2,0.5,0,2.1457672119140625e-06,False
2,0.5,1,2.86102294921875e-06,True
2,0.5,1,3.337860107421875e-06,True
2,0.5,1,5.0067901611328125e-06,True
2,0.5,0,3.337860107421875e-06,False
2,0.5,1,4.291534423828125e-06,True
2,0.5,1,3.337860107421875e-06,True
2,0.5,1,3.337860107421875e-06,True
2,0.5,0,1.430511474609375e-06,False
2,0.5,1,2.86102294921875e-06,True
2,0.5,0,2.384185791015625e-06,False
2,0.5,0,3.0994415283203125e-06,False
2,0.5,0,2.1457672119140625e-06,False
2,0.5,0,2.384185791015625e-06,False
2,0.5,1,2.86102294921875e-06,True
2,0.7,1,6.4373016357421875e-06,True
2,0.7,1,3.337860107421875e-06,True
2,0.7,0,3.0994415283203125e-06,False
2,0.7,1,3.337860107421875e-06,True
2,0.7,1,2.86102294921875e-06,True
2,0.7,1,2.86102294921875e-06,True
2,0.7,1,3.337860107421875e-06,True
2,0.7,0,2.384185791015625e-06,False
2,0.7,1,2.86102294921875e-06,True
2,0.7,1,2.86102294921875e-06,True
2,0.7,1,2.86102294921875e-06,True
2,0.7,1,2.6226043701171875e-06,True
2,0.7,1,2.6226043701171875e-06,True
2,0.7,0,2.384185791015625e-06,False
2,0.7,0,2.86102294921875e-06,False
2,0.7,1,3.337860107421875e-06,True
2,0.7,1,3.814697265625e-06,True
2,0.7,0,2.384185791015625e-06,False
2,0.7,0,2.384185791015625e-06,False
2,0.7,1,2.86102294921875e-06,True
2,0.7,1,3.0994415283203125e-06,True
2,0.7,0,2.384185791015625e-06,False
2,0.7,1,2.86102294921875e-06,True
2,0.7,1,2.86102294921875e-06,True
2,0.7,1,2.86102294921875e-06,True
2,0.7,1,2.86102294921875e-06,True
2,0.7,0,2.1457672119140625e-06,False
2,0.7,1,2.86102294921875e-06,True
2,0.7,1,2.6226043701171875e-06,True
2,0.7,1,3.0994415283203125e-06,True
3,0.3,1,6.67572021484375e-06,False
3,0.3,1,4.291534423828125e-06,False
